cafe_id,kakao_name,naver_name,address,latitude,longitude,study_sentiment_score,rating_score,distance_score,raw_final_score,review_confidence,adjusted_final_score,recommend_label,grade,rating,review_count,business_hours,straight_distance_m,study_mention_count,kakao_place_url,naver_map_url,가격대_score,공부 적합성_score,영업시간_score,조용함_score,좌석_score,체류 적합성_score,콘센트_score,혼잡도_score,와이파이_score,is_excluded_type,distance_penalty,presentation_score,presentation_grade,presentation_recommend_label
C095,레디쉬드롭,레디쉬드롭커피로스터스,경기 용인시 기흥구 중부대로746번길 7,37.2612458278652,127.139786104609,100.0,60.0,45,87.75,1.0,87.75,1,추천,0.0,197.0,11:00 ~ 21:00,5142,2,http://place.map.kakao.com/2126682816,https://map.naver.com/p/entry/place/1655601903,50.0,100.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,False,12,75.75,추천,1
C063,커피에반하다 용인삼가역점,커피에반하다 용인삼가역점,경기 용인시 처인구 지삼로590번길 9,37.2404795540314,127.166869152063,100.0,60.0,45,87.75,1.0,87.75,1,추천,0.0,121.0,08:00 ~ 20:00,1906,5,http://place.map.kakao.com/25414841,https://map.naver.com/p/entry/place/1049135950,100.0,100.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,False,12,75.75,추천,1
C011,더벤티 용인역북점,더벤티 용인역북점,경기 용인시 처인구 명지로 24,37.23373647219192,127.18827563626373,85.0,60.0,100,84.75,1.0,84.75,1,추천,0.0,515.0,09:00 ~ 21:30,132,7,http://place.map.kakao.com/42356985,https://map.naver.com/p/entry/place/1482036986,100.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,False,0,84.75,추천,1
C099,카페봄,카페봄,경기 용인시 기흥구 중부대로746번길 66-10,37.2586061513567,127.134005061899,100.0,60.0,45,87.75,0.96,84.06,1,추천,0.0,43.0,11:00 ~ 21:00,5412,7,http://place.map.kakao.com/796918104,https://map.naver.com/p/entry/place/2094292442,100.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,False,12,72.06,추천,1
C042,우노커피랩,우노커피랩,경기 용인시 처인구 중부대로1299번길 2,37.2366322593139,127.189513465313,100.0,60.0,85,93.75,0.86,80.25,1,추천,0.0,26.0,,356,7,http://place.map.kakao.com/1300222763,https://map.naver.com/p/entry/place/2040177290,50.0,50.0,50.0,100.0,50.0,100.0,50.0,50.0,50.0,False,3,77.25,추천,1
C075,베이크카페,베이크로,경기 용인시 처인구 금학로 237,37.2383603784374,127.19012861144326,80.0,60.0,85,78.75,1.0,78.75,1,추천,0.0,109.0,10:00 ~ 18:00,544,2,http://place.map.kakao.com/1459966598,https://map.naver.com/p/entry/place/1336880171,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,False,3,75.75,추천,1
C080,디어도터,디어도터,경기 용인시 처인구 지삼로470번길 4-3,37.23512825880559,127.15697533862232,100.0,60.0,45,87.75,0.86,75.64,1,추천,0.0,27.0,09:00 ~ 20:00,2651,4,http://place.map.kakao.com/2044616307,https://map.naver.com/p/entry/place/1428817371,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,False,12,63.64,보통,0
C089,달달하당,달달하당,경기 용인시 기흥구 중부대로788번길 13,37.25711332867929,127.14157192960457,77.78,90.8,45,74.16,1.0,74.16,1,추천,4.54,162.0,10:00 ~ 20:00,4753,3,http://place.map.kakao.com/254405360,https://map.naver.com/p/entry/place/1987582886,50.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,False,12,62.16,보통,0
C054,폴바셋 용인시청DT점,폴 바셋 용인시청 DT점,경기 용인시 처인구 중부대로 1139,37.2405552145674,127.171927326909,70.83,60.0,45,65.88,1.0,65.88,0,보통,0.0,1455.0,08:00 ~ 22:00,1502,5,http://place.map.kakao.com/1192013944,https://map.naver.com/p/entry/place/1574828301,50.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,False,12,53.88,보통,0
C088,피크닉제이,피크닉제이,경기 용인시 기흥구 중부대로788번길 13,37.25693740998571,127.14175196063736,90.91,60.0,45,80.93,0.8,64.42,0,보통,0.0,16.0,10:30 ~ 18:30,4729,5,http://place.map.kakao.com/472428337,https://map.naver.com/p/entry/place/1499668433,0.0,100.0,50.0,50.0,100.0,50.0,100.0,50.0,50.0,False,12,52.42,보통,0
C074,카페명암,카페명암,경기 용인시 처인구 중부대로1299번길 12,37.23716443914291,127.18972441140382,60.0,60.0,85,63.75,1.0,63.75,0,보통,0.0,118.0,,414,2,http://place.map.kakao.com/63381879,https://map.naver.com/p/entry/place/1439471869,50.0,50.0,50.0,50.0,100.0,0.0,50.0,50.0,50.0,False,3,60.75,보통,0
C008,달다미로,달다미로,경기 용인시 처인구 명지로16번길 26,37.23512586862744,127.18657743306396,50.0,100.0,100,62.5,1.0,62.5,0,보통,5.0,208.0,12:30 ~ 19:00,107,3,http://place.map.kakao.com/636039494,https://map.naver.com/p/entry/place/1480248650,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,62.5,보통,0
C015,컴포즈커피 용인명지대점,컴포즈커피 용인명지대점,경기 용인시 처인구 명지로40번길 16,37.23271485794658,127.1870301361,50.0,92.6,100,61.76,1.0,61.76,0,보통,4.63,992.0,09:00 ~ 18:00,166,1,http://place.map.kakao.com/732862533,https://map.naver.com/p/entry/place/1183157490,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,61.76,보통,0
C025,설빙 경기용인역북점,설빙 용인역북점,경기 용인시 처인구 명지로40번길 4,37.23265360954966,127.188153493359,50.0,91.8,100,61.68,1.0,61.68,0,보통,4.59,1325.0,11:00 ~ 23:00,205,0,http://place.map.kakao.com/789625125,https://map.naver.com/p/entry/place/1067407907,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,61.68,보통,0
C021,딸기가좋아 용인점,딸기가좋아 용인점,경기 용인시 처인구 중부대로 1294,37.23547363952967,127.18830587562697,50.0,90.0,100,61.5,1.0,61.5,0,보통,4.5,1456.0,11:00 ~ 20:00,189,2,http://place.map.kakao.com/701653960,https://map.naver.com/p/entry/place/1184699820,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,61.5,보통,0
C018,러블리파이마카롱,러블리 파이 마카롱,경기 용인시 처인구 명지로40번길 10,37.23266283398739,127.18745033732498,50.0,86.8,100,61.18,1.0,61.18,0,보통,4.34,371.0,10:30 ~ 22:00,178,2,http://place.map.kakao.com/2099620703,https://map.naver.com/p/entry/place/1204840219,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,61.18,보통,0
C031,빽다방 용인역북남부점,빽다방 용인역북남부점,경기 용인시 처인구 명지로60번길 8-13,37.23193742903877,127.1874902359992,50.0,86.0,100,61.1,1.0,61.1,0,보통,4.3,1800.0,08:00 ~ 23:00,257,1,http://place.map.kakao.com/1578769976,https://map.naver.com/p/entry/place/1431723367,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,0,61.1,보통,0
C037,메가MGC커피 용인역북점,메가MGC커피 용인역북점,경기 용인시 처인구 명지로60번길 8-10,37.23157833573763,127.1877913488654,50.0,88.6,85,59.11,1.0,59.11,0,보통,4.43,1221.0,08:00 ~ 23:00,302,1,http://place.map.kakao.com/2097994252,https://map.naver.com/p/entry/place/1016043923,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,False,3,56.11,보통,0
