feature,coefficient,importance
좌석_score,0.39780175533672957,0.39780175533672957
조용함_score,0.3632099731898968,0.3632099731898968
체류 적합성_score,0.35833312029680536,0.35833312029680536
콘센트_score,-0.1606038198362053,0.1606038198362053
가격대_score,0.0986212199136933,0.0986212199136933
rating_score,0.0754341958556596,0.0754341958556596
혼잡도_score,0.0648575991123676,0.0648575991123676
영업시간_score,0.02461020520757791,0.02461020520757791
공부 적합성_score,0.006709356435759334,0.006709356435759334
review_count,-0.005485764951951267,0.005485764951951267
review_confidence,0.0046106735716753625,0.0046106735716753625
와이파이_score,0.0002465771758971417,0.0002465771758971417
